	Arg1	Arg2	Conn1	Conn2	ExplConn	File	RelType	SClass1A	SClass1B	SClass2A	SClass2B	Sup1	Sup2
90	"Deshalb müssen Fach·leute untersuchen:
            War der Mann vielleicht krank"	Die Polizei hat einen Teil vom Park·haus gesperrt	NA	NA	NA	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	NoRel	NA	NA	NA	NA	NA	NA
91	Die Polizei hat einen Teil vom Park·haus gesperrt	"Die Polizei hat gesagt:
            Die Wand an der Außen·seite vom Park·haus ist kaputt.
            Deshalb kann diese Wand auf die Straße fallen.
            Jetzt müssen Fach·leute diese Wand reparieren.
            Dann können wieder Autos in diesem Teil vom Park·haus parken"	denn	NA	NA	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	Implicit	Contingency.Cause.Reason	NA	NA	NA	NA	NA
92	Die Wand an der Außen·seite vom Park·haus ist kaputt	kann diese Wand auf die Straße fallen	NA	NA	Deshalb	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
93	Die Wand an der Außen·seite vom Park·haus ist kaputt	müssen Fach·leute diese Wand reparieren	NA	NA	Jetzt	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	Explicit	Temporal.Synchronous	Contingency.Cause.Result	NA	NA	NA	NA
94	Jetzt müssen Fach·leute diese Wand reparieren	können wieder Autos in diesem Teil vom Park·haus parken	NA	NA	Dann	Auto-faellt-aus-Parkhaus-,unfall11928.html.txt	Explicit	Temporal.Asynchronous.Precedence	Contingency.Purpose.Arg2-as-goal	NA	NA	NA	NA
95	In Hamburg hat die Polizei einen Mann festgenommen	"Die Polizei glaubt...:
            Der Mann hat schlimme Verbrechen gemacht.
            Diese Verbrechen waren vor mehr als 37 Jahren"	NA	NA	nämlich	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	Explicit	Contingency.Cause.Reason	NA	NA	NA	NA	NA
96	Der Mann hat schlimme Verbrechen gemacht	Diese Verbrechen waren vor mehr als 37 Jahren	NA	NA	NA	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	EntRel	NA	NA	NA	NA	NA	NA
97	"In Hamburg hat die Polizei einen Mann festgenommen.
Die Polizei glaubt nämlich:
            Der Mann hat schlimme Verbrechen gemacht.
            Diese Verbrechen waren vor mehr als 37 Jahren"	Was ist passiert	deshalb	NA	NA	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	Implicit	Contingency.Cause+SpeechAct.Result+SpeechAct	NA	NA	NA	NA	NA
98	Was ist passiert	"Die Verbrechen waren im Jahr 1980.
Damals hat ein Mann 2 Mädchen angegriffen.
Erst wollte der Mann ein Mädchen vergewaltigen...Aber das Mädchen konnte weglaufen.
Deshalb hat der Mann das Mädchen nicht vergewaltigt.
 
Einige Monate später hat der Mann ein anderes Mädchen angegriffen.
Der Mann hat dieses Mädchen mit einem Messer sehr schwer verletzt.
Dann wollte der Mann dieses Mädchen vergewaltigen.
Aber dann sind andere Menschen gekommen.
Deshalb ist der Mann weggelaufen.
Und der Mann hat das Mädchen nicht vergewaltigt.
 
Damals hat die Polizei sehr lange nach dem Mann gesucht.
Aber die Polizei hat den Mann nicht gefunden.
 
Jetzt hat die Polizei neue Hinweise gefunden.
Und die Polizei hat ein Foto von einem Messer veröffentlicht.
Die Polizei hat gesagt:
            Dieses Messer hat der Mann bei der Tat benutzt.
Und die Polizei hat gefragt:
            Wem gehört dieses Messer?
Dann hat sich ein Mensch gemeldet.
Dieser Mensch hat gesagt:
            Das Messer gehört einem Mann.
            Und ich kenne diesen Mann.
Diesen Mann hat die Polizei jetzt festgenommen"	NA	NA	NA	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	Hypophora	NA	NA	NA	NA	NA	NA
99	Die Verbrechen waren im Jahr 1980	hat ein Mann 2 Mädchen angegriffen	NA	NA	Damals	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	Explicit	Expansion.Level-of-detail.Arg2-as-detail	Temporal.Synchronous	NA	NA	NA	NA
100	Damals hat ein Mann 2 Mädchen angegriffen	Erst wollte der Mann ein Mädchen vergewaltigen....Einige Monate später hat der Mann ein anderes Mädchen angegriffen	und zwar	NA	NA	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	Implicit	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA	NA
101	Erst wollte der Mann ein Mädchen vergewaltigen	das Mädchen konnte weglaufen	NA	NA	Aber	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	Explicit	Comparison.Concession.Arg2-as-denier	NA	NA	NA	NA	NA
102	Aber das Mädchen konnte weglaufen	hat der Mann das Mädchen nicht vergewaltigt	NA	NA	Deshalb	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
103	Erst wollte der Mann ein Mädchen vergewaltigen	Einige Monate später hat der Mann ein anderes Mädchen angegriffen	NA	NA	Erst...Einige Monate später	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	AltLex	Temporal.Asynchronous.Precedence	NA	NA	NA	NA	NA
104	Einige Monate später hat der Mann ein anderes Mädchen angegriffen	Der Mann hat dieses Mädchen mit einem Messer sehr schwer verletzt	dabei	NA	NA	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	Implicit	Expansion.Manner.Arg2-as-manner	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA
105	Der Mann hat dieses Mädchen mit einem Messer sehr schwer verletzt	wollte der Mann dieses Mädchen vergewaltigen	NA	NA	Dann	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	Explicit	Temporal.Asynchronous.Precedence	NA	NA	NA	NA	NA
106	Dann wollte der Mann dieses Mädchen vergewaltigen	dann sind andere Menschen gekommen	NA	NA	Aber	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	Explicit	Comparison.Concession.Arg2-as-denier	NA	NA	NA	NA	NA
107	Dann wollte der Mann dieses Mädchen vergewaltigen	Aber...sind andere Menschen gekommen	NA	NA	dann	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	Explicit	Temporal.Asynchronous.Precedence	NA	NA	NA	NA	NA
108	Aber dann sind andere Menschen gekommen	ist der Mann weggelaufen	NA	NA	Deshalb	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	Explicit	Contingency.Cause.Result	Temporal.Asynchronous.Precedence	NA	NA	NA	NA
109	Deshalb ist der Mann weggelaufen	der Mann hat das Mädchen nicht vergewaltigt	NA	NA	Und	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
110	Die Verbrechen waren im Jahr 1980	hat die Polizei sehr lange nach dem Mann gesucht	NA	NA	Damals	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	Explicit	Temporal.Synchronous	Contingency.Cause.Result	NA	NA	NA	NA
111	Damals hat die Polizei sehr lange nach dem Mann gesucht	die Polizei hat den Mann nicht gefunden	NA	NA	Aber	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	Explicit	Comparison.Concession.Arg2-as-denier	NA	NA	NA	NA	NA
112	Aber die Polizei hat den Mann nicht gefunden	hat die Polizei neue Hinweise gefunden	NA	NA	Jetzt	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	Explicit	Temporal.Asynchronous.Precedence	Comparison.Concession.Arg2-as-denier	NA	NA	NA	NA
113	Jetzt hat die Polizei neue Hinweise gefunden	die Polizei hat ein Foto von einem Messer veröffentlicht	NA	NA	Und	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	Explicit	Expansion.Conjunction	Contingency.Cause.Result	NA	NA	NA	NA
114	Und die Polizei hat ein Foto von einem Messer veröffentlicht	"Die Polizei hat gesagt:
            Dieses Messer hat der Mann bei der Tat benutzt"	denn	NA	NA	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	Implicit	Contingency.Cause.Reason	NA	NA	NA	NA	NA
115	"Die Polizei hat gesagt:
            Dieses Messer hat der Mann bei der Tat benutzt"	"die Polizei hat gefragt:
            Wem gehört dieses Messer"	NA	NA	Und	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
116	"Und die Polizei hat gefragt:
            Wem gehört dieses Messer"	hat sich ein Mensch gemeldet	NA	NA	Dann	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	Explicit	Temporal.Asynchronous.Precedence	Contingency.Cause.Result	NA	NA	NA	NA
117	Dann hat sich ein Mensch gemeldet	"Dieser Mensch hat gesagt:
            Das Messer gehört einem Mann.
            Und ich kenne diesen Mann"	und zwar	NA	NA	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	Implicit	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA	NA
118	Das Messer gehört einem Mann	ich kenne diesen Mann.	NA	NA	Und	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
119	"Dieser Mensch hat gesagt:
            Das Messer gehört einem Mann.
            Und ich kenne diesen Mann"	Diesen Mann hat die Polizei...festgenommen	NA	NA	jetzt	37-Jahre-nach-Verbrechen-Mann-festgenommen,coldcase174.html.txt	Explicit	Temporal.Asynchronous.Precedence	Contingency.Cause.Result	NA	NA	NA	NA
120	An einem Feier·tag müssen die meisten Menschen nicht arbeiten	Ein Feier·tag ist zum Beispiel Neu·jahr	NA	NA	NA	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	EntRel	NA	NA	NA	NA	NA	NA
121	In Hamburg gibt es wahrscheinlich bald einen neuen Feier·tag	"Viele Politiker in Hamburg haben...gesagt:
            In Hamburg gibt es jedes Jahr nur 9 Feier·tage.
            Aber in vielen anderen Bundes·ländern gibt es mehr Feier·tage.
            Deshalb soll es in Hamburg bald einen neuen Feier·tag geben"	NA	NA	nämlich	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	Explicit	Contingency.Cause.Reason	NA	NA	NA	NA	NA
122	In Hamburg gibt es jedes Jahr nur 9 Feier·tage	in vielen anderen Bundes·ländern gibt es mehr Feier·tage	NA	NA	Aber	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	Explicit	Comparison.Concession.Arg1-as-denier	NA	NA	NA	NA	NA
123	Aber in vielen anderen Bundes·ländern gibt es mehr Feier·tage	soll es in Hamburg bald einen neuen Feier·tag geben	NA	NA	Deshalb	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
124	"Viele Politiker in Hamburg haben nämlich gesagt:
            In Hamburg gibt es jedes Jahr nur 9 Feier·tage.
            Aber in vielen anderen Bundes·ländern gibt es mehr Feier·tage.
            Deshalb soll es in Hamburg bald einen neuen Feier·tag geben"	haben sich Politiker von mehreren Parteien geeinigt	NA	NA	Jetzt	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	Explicit	Temporal.Asynchronous.Precedence	NA	NA	NA	NA	NA
125	Jetzt haben sich Politiker von mehreren Parteien geeinigt	"diese Politiker haben gesagt:
            Der 31. Oktober soll jedes Jahr in Hamburg ein Feier·tag sein"	NA	NA	Und	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	Explicit	Expansion.Conjunction	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA
126	"Und diese Politiker haben gesagt:
            Der 31. Oktober soll jedes Jahr in Hamburg ein Feier·tag sein"	Vor 500 Jahren hat es nur eine Kirche gegeben	NA	NA	NA	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	NoRel	NA	NA	NA	NA	NA	NA
127	Vor 500 Jahren hat es nur eine Kirche gegeben	viele Menschen waren mit der katholischen Kirche nicht zufrieden	NA	NA	Aber	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	Explicit	Comparison.Concession.Arg2-as-denier	NA	NA	NA	Diese Kirche war die katholische Kirche	NA
128	Aber viele Menschen waren mit der katholischen Kirche nicht zufrieden	"Diesen Menschen haben...gesagt:
            Die Kirche hat zu viel Geld
            Und sie gibt zu viel Geld für bestimmte Dinge aus.
            Zum Beispiel für teure Kirchen-Gebäude"	NA	NA	zum Beispiel	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	Explicit	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA
129	Die Kirche hat zu viel Geld	sie gibt zu viel Geld für bestimmte Dinge aus	NA	NA	Und	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
130	Und sie gibt zu viel Geld für bestimmte Dinge aus	für teure Kirchen-Gebäude	NA	NA	Zum Beispiel	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	Explicit	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA
131	"Diesen Menschen haben zum Beispiel gesagt:
            Die Kirche hat zu viel Geld
            Und sie gibt zu viel Geld für bestimmte Dinge aus.
            Zum Beispiel für teure Kirchen-Gebäude"	Einer von diesen Menschen war Martin Luther	NA	NA	Einer von diesen Menschen	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	AltLex	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA
132	Einer von diesen Menschen war Martin Luther	Martin Luther hat Texte geschrieben	NA	NA	NA	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	EntRel	NA	NA	NA	NA	NA	NA
133	Martin Luther hat Texte geschrieben	"In diesen Texten hat Martin Luther...geschrieben:
            Das finde ich an der katholischen Kirche nicht gut.
            Und das muss sich in der katholischen Kirche ändern"	NA	NA	zum Beispiel	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	Explicit	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA
134	Das finde ich an der katholischen Kirche nicht gut	das muss sich in der katholischen Kirche ändern	NA	NA	Und	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
135	"In diesen Texten hat Martin Luther zum Beispiel geschrieben:
            Das finde ich an der katholischen Kirche nicht gut.
            Und das muss sich in der katholischen Kirche ändern"	Viele Menschen haben die Texte von Martin Luther gelesen	NA	NA	NA	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	EntRel	NA	NA	NA	NA	NA	NA
136	Viele Menschen haben die Texte von Martin Luther gelesen	"diese Menschen haben gedacht:
         Martin Luther hat recht"	NA	NA	Und	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	Explicit	Contingency.Cause.Result	Expansion.Conjunction	NA	NA	NA	NA
137	"Und diese Menschen haben gedacht:
         Martin Luther hat recht"	wollten diese Menschen die Kirche erneuern	NA	NA	Deshalb	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
138	Deshalb wollten diese Menschen die Kirche erneuern	Seit der Reformation gibt es eine neue Kirche in Deutschland	NA	NA	Seit der Reformation	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	AltLex	Temporal.Asynchronous.Precedence	NA	NA	NA	Diese Erneuerung von der Kirche heißt Reformation	NA
139	Seit der Reformation gibt es eine neue Kirche in Deutschland	Diese Kirche heißt evangelische Kirche	NA	NA	NA	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	EntRel	NA	NA	NA	NA	NA	NA
140	Diese Kirche heißt evangelische Kirche	Ein Text von Martin Luther war sehr wichtig für die Reformation	NA	NA	NA	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	NoRel	NA	NA	NA	NA	NA	NA
141	Ein Text von Martin Luther war sehr wichtig für die Reformation	"Viele Menschen sagen:
            Mit diesem Text hat die Reformation richtig angefangen"	nämlich	sogar	NA	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	Implicit	Contingency.Cause+Belief.Reason+Belief	NA	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA
142	"Viele Menschen sagen:
            Mit diesem Text hat die Reformation richtig angefangen"	Diesen Text konnten die Menschen am 31. Oktober 1517 lesen	NA	NA	NA	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	EntRel	NA	NA	NA	NA	NA	NA
143	Diesen Text konnten die Menschen am 31. Oktober 1517 lesen	ist der 31. Oktober auch heute noch für viele Menschen ein wichtiger Tag	NA	NA	Deshalb	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	"Viele Menschen sagen:
            Mit diesem Text hat die Reformation richtig angefangen"	NA
144	Deshalb ist der 31. Oktober auch heute noch für viele Menschen ein wichtiger Tag	Der 31. Oktober soll bald nicht nur in Hamburg ein Feier·tag sein	deshalb	NA	NA	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	Implicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
145	Der 31. Oktober soll bald...in Hamburg ein Feier·tag sein	in anderen Bundes·ländern soll der 31. Oktober bald ein Feier·tag sein	NA	NA	nicht nur...Auch	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	Explicit	Comparison.Similarity	NA	NA	NA	NA	"In Niedersachsen.
• In Schleswig-Holstein.
• Und in Bremen"
146	Auch in anderen Bundes·ländern soll der 31. Oktober bald ein Feier·tag sein	In Mecklenburg Vorpommern ist der 31. Oktober schon ein Feier·tag	dagegen	NA	NA	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	Implicit	Comparison.Contrast	NA	NA	NA	"• In Niedersachsen.
• In Schleswig-Holstein.
• Und in Bremen"	NA
147	In Mecklenburg Vorpommern ist der 31. Oktober schon ein Feier·tag	Bald sind in den Parlamenten von den Bundes·ländern wichtige Abstimmungen	NA	NA	NA	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	NoRel	NA	NA	NA	NA	NA	NA
148	Im Parlament sind viele Politiker	Diese Politiker sind von verschiedenen Parteien	und zwar	NA	NA	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	Implicit	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA	NA
149	Diese Politiker sind von verschiedenen Parteien	diese Politiker treffen wichtige Entscheidungen für das Bundes·land	NA	NA	Und	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
150	Bald sind in den Parlamenten von den Bundes·ländern wichtige Abstimmungen	"Bei den Abstimmungen entscheiden die Parlamente:
• Der 31. Oktober ist ein neuer Feier·tag.
• Oder der 31. Oktober ist kein neuer Feier·tag"	NA	NA	Bei den Abstimmungen	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	AltLex	Expansion.Level-of-detail.Arg2-as-detail	Temporal.Synchronous	NA	NA	NA	NA
151	Der 31. Oktober ist ein neuer Feier·tag	der 31. Oktober ist kein neuer Feier·tag	NA	NA	Oder	31-Oktober-soll-Feiertag-werden,feiertag210.html.txt	Explicit	Expansion.Disjunction	NA	NA	NA	NA	NA
152	In vielen Seen in Niedersachsen ist das Baden verboten	In diesen Seen sind...viele Blau·algen	NA	NA	nämlich	Baden-in-vielen-Seen-verboten,badeverbot166.html.txt	Explicit	Contingency.Cause.Reason	NA	NA	NA	NA	NA
153	Blau·algen sind Bakterien	Diese Bakterien sind im Wasser	NA	NA	NA	Baden-in-vielen-Seen-verboten,badeverbot166.html.txt	EntRel	NA	NA	NA	NA	NA	NA
154	Diese Bakterien sind im Wasser	diese Bakterien sind für Menschen gefährlich	NA	NA	Und	Baden-in-vielen-Seen-verboten,badeverbot166.html.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
155	Und diese Bakterien sind für Menschen gefährlich	Diese Bakterien machen Menschen...krank	NA	NA	nämlich	Baden-in-vielen-Seen-verboten,badeverbot166.html.txt	Explicit	Contingency.Cause.Reason	NA	NA	NA	NA	NA
156	In diesen Seen sind nämlich viele Blau·algen	"Diese Seen sind...• Der Seeburger See.
• Der Dümmer.
• Und die Thülsfelder Tal·sperre"	NA	NA	zum Beispiel	Baden-in-vielen-Seen-verboten,badeverbot166.html.txt	Explicit	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA
157	"Diese Seen sind zum Beispiel:
• Der Seeburger See.
• Der Dümmer.
• Und die Thülsfelder Tal·sperre"	In Nord·deutschland ist es sehr heiß	NA	NA	NA	Baden-in-vielen-Seen-verboten,badeverbot166.html.txt	NoRel	NA	NA	NA	NA	NA	NA
158	In Nord·deutschland ist es sehr heiß	in Nord·deutschland ist es sehr trocken	NA	NA	Und	Baden-in-vielen-Seen-verboten,badeverbot166.html.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
159	Und in Nord·deutschland ist es sehr trocken	In Nord·deutschland hat es...wenig geregnet	NA	NA	nämlich	Baden-in-vielen-Seen-verboten,badeverbot166.html.txt	Explicit	Contingency.Cause.Reason	NA	NA	NA	NA	NA
160	In Nord·deutschland hat es nämlich wenig geregnet	"Fachleute haben gesagt:
            Bei diesem Wetter können im Wasser Blau·algen entstehen.
            Blau·algen sind giftig.
            Menschen schlucken beim Baden Blau·algen?
            Dann können diese Menschen krank werden.
            Diese Menschen bekommen zum Beispiel:
            • Durchfall.
            • Oder Erbrechen.
            Besonders gefährlich sind Blau·algen für Kinder"	daraufhin	NA	NA	Baden-in-vielen-Seen-verboten,badeverbot166.html.txt	Implicit	Temporal.Asynchronous.Precedence	Contingency.Cause.Result	NA	NA	NA	NA
161	Bei diesem Wetter können im Wasser Blau·algen entstehen	Blau·algen sind giftig	NA	NA	NA	Baden-in-vielen-Seen-verboten,badeverbot166.html.txt	EntRel	NA	NA	NA	NA	NA	NA
162	Blau·algen sind giftig	Menschen schlucken beim Baden Blau·algen	NA	NA	NA	Baden-in-vielen-Seen-verboten,badeverbot166.html.txt	EntRel	NA	NA	NA	NA	NA	NA
163	Menschen schlucken beim Baden Blau·algen	Dann können diese Menschen krank werden	NA	NA	Menschen schlucken...Dann	Baden-in-vielen-Seen-verboten,badeverbot166.html.txt	AltLexC	Contingency.Condition.Arg1-as-cond	NA	NA	NA	NA	NA
164	Dann können diese Menschen krank werden	"Diese Menschen bekommen...• Durchfall.
            • Oder Erbrechen"	NA	NA	zum Beispiel	Baden-in-vielen-Seen-verboten,badeverbot166.html.txt	Explicit	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA
165	Blau·algen sind giftig	Besonders gefährlich sind Blau·algen für Kinder	NA	NA	Besonders gefährlich	Baden-in-vielen-Seen-verboten,badeverbot166.html.txt	AltLex	Expansion.Level-of-detail.Arg2-as-detail	Comparison.Similarity	NA	NA	NA	NA
166	"Fachleute haben gesagt:
            Bei diesem Wetter können im Wasser Blau·algen entstehen.
            Blau·algen sind giftig.
            Menschen schlucken beim Baden Blau·algen?
            Dann können diese Menschen krank werden.
            Diese Menschen bekommen zum Beispiel:
            • Durchfall.
            • Oder Erbrechen.
            Besonders gefährlich sind Blau·algen für Kinder"	Fach·leute haben Seen in Niedersachsen untersucht	daraufhin	NA	NA	Baden-in-vielen-Seen-verboten,badeverbot166.html.txt	Implicit	Temporal.Asynchronous.Precedence	Contingency.Cause.Result	NA	NA	NA	NA
167	Fach·leute haben Seen in Niedersachsen untersucht	"Die Fachleute wollten zum Beispiel wissen:
Ist das Wasser von den Seen sauber"	denn	NA	NA	Baden-in-vielen-Seen-verboten,badeverbot166.html.txt	Implicit	Contingency.Cause.Reason	NA	NA	NA	NA	NA
168	Fach·leute haben Seen in Niedersachsen untersucht	"haben die Fach·leute gesagt:
            Im Wasser von vielen Seen sind Blau·algen.
            Deshalb ist das Baden in diesen Seen verboten.
            Die Blau·algen sind auch für Tiere gefährlich.
            Deshalb sollen auch keine Tiere in den Seen baden.
            Im letzten Jahr sind nämlich mehrere Hunde durch Blau·algen gestorben"	NA	NA	Jetzt	Baden-in-vielen-Seen-verboten,badeverbot166.html.txt	Explicit	Contingency.Cause.Result	Temporal.Asynchronous.Precedence	NA	NA	NA	NA
169	Im Wasser von vielen Seen sind Blau·algen	ist das Baden in diesen Seen verboten	NA	NA	Deshalb	Baden-in-vielen-Seen-verboten,badeverbot166.html.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
170	Dann können diese Menschen krank werden	Die Blau·algen sind...für Tiere gefährlich	NA	NA	auch	Baden-in-vielen-Seen-verboten,badeverbot166.html.txt	Explicit	Comparison.Similarity	NA	NA	NA	NA	NA
171	Die Blau·algen sind auch für Tiere gefährlich	sollen auch keine Tiere in den Seen baden	NA	NA	Deshalb	Baden-in-vielen-Seen-verboten,badeverbot166.html.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
172	Deshalb ist das Baden in diesen Seen verboten	Deshalb sollen...keine Tiere in den Seen baden	NA	NA	auch	Baden-in-vielen-Seen-verboten,badeverbot166.html.txt	Explicit	Comparison.Similarity	NA	NA	NA	NA	NA
173	Die Blau·algen sind auch für Tiere gefährlich	Im letzten Jahr sind nämlich mehrere Hunde durch Blau·algen gestorben	NA	NA	Im letzten Jahr	Baden-in-vielen-Seen-verboten,badeverbot166.html.txt	AltLex	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA
174	Deshalb sollen auch keine Tiere in den Seen baden	Im letzten Jahr sind...mehrere Hunde durch Blau·algen gestorben	NA	NA	nämlich	Baden-in-vielen-Seen-verboten,badeverbot166.html.txt	Explicit	Contingency.Cause.Reason	NA	NA	NA	NA	NA
175	In Schleswig-Holstein ist viel Geld verschwunden	Das Geld war in einem Geld·transporter	zuvor	NA	NA	2-Millionen-Euro-verschwunden-,geldtransporter134.html.txt	Implicit	Temporal.Asynchronous.Succession	NA	NA	NA	NA	NA
176	            Ein Geld·transporter ist ein besonderes Auto	Ein Geld·transporter ist besonders gesichert	denn	zum Beispiel	NA	2-Millionen-Euro-verschwunden-,geldtransporter134.html.txt	Implicit	Contingency.Cause.Reason	NA	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA
177	Ein Geld·transporter ist besonders gesichert	Ein Geld·transporter hat zum Beispiel sehr dicke Türen	indem	NA	NA	2-Millionen-Euro-verschwunden-,geldtransporter134.html.txt	Implicit	Expansion.Manner.Arg2-as-manner	NA	NA	NA	NA	NA
178	Ein Geld·transporter ist besonders gesichert	Ein Geld·transporter hat...sehr dicke Türen	NA	NA	zum Beispiel	2-Millionen-Euro-verschwunden-,geldtransporter134.html.txt	Explicit	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA
179	Ein Geld·transporter ist ein besonderes Auto	Ein Geld·transporter bringt...Geld zu einer Bank	NA	NA	zum Beispiel	2-Millionen-Euro-verschwunden-,geldtransporter134.html.txt	Explicit	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA
180	Das Geld war in einem Geld·transporter	"Die Polizei hat gesagt:
            In dem Geld·transporter war sehr viel Geld"	NA	NA	NA	2-Millionen-Euro-verschwunden-,geldtransporter134.html.txt	EntRel	NA	NA	NA	NA	NA	NA
181	In dem Geld·transporter war sehr viel Geld	Von diesem Geld sind 2 Millionen Euro verschwunden	jedoch	jetzt	NA	2-Millionen-Euro-verschwunden-,geldtransporter134.html.txt	Implicit	Comparison.Concession.Arg2-as-denier	NA	Temporal.Asynchronous.Precedence	NA	NA	NA
